title,genres,countries,type,description,rating_imdb,votes_imdb,movieLength,ratingMpaa
white chicks,"комедия, криминал",США,movie,"Проштрафившиеся агенты ФБР - чернокожие братья Кевин и Маркус - решают обелить себя перед руководством. Им поручают защиту сестёр Уилтон, наследниц огромной гостиничной империи. Герои прячут сестёр в укромном месте, при этом сами в них перевоплощаются. Остаётся только убедить всех в том, что они действительно молодые белые миллионерши.",5.8,165480,105,pg13
lucky number slevin,"триллер, драма, криминал","США, Канада, Великобритания, Германия",movie,"Слевину не везет — дом опечатан, девушка ушла к другому. Его друг Ник уезжает из Нью-Йорка и предлагает Слевину пожить в пустой квартире. Тем временем, крупный криминальный авторитет по прозвищу Босс хочет рассчитаться со своим бывшим партнером за убийство сына и в отместку заказать его наследника.",7.7,328413,110,r
grey's anatomy,"драма, мелодрама",США,tv-series,"В центре событий — молодая женщина-хирург Мередит Грей, дочь известного врача Эллис Грей. Она, как и её коллеги — такие же начинающие врачи, как она — работает в городской больнице Сиэтла. Хирурги оперируют и влюбляются, заводят истории болезни и служебные романы, хранят свои врачебные тайны, борются с осложнениями у пациентов и в собственной личной жизни. И зачастую отношения с противоположным полом волнуют их не меньше, чем вопрос приобретения ими профессионального опыта.",7.6,353710,0,
prison break,"боевик, триллер, драма, криминал, детектив","США, Великобритания",tv-series,"Майкл убежден в невиновности брата, осужденного на казнь, и решает сам восстановить справедливость. Он намеренно совершает преступление, за которое попадает в ту самую тюрьму, где сидит брат. Ту самую, которую Майкл хорошо знает, потому что сам же ее и создавал, как инженер-строитель... План спасения гениально прост...",8.3,611933,0,
how i met your mother,"комедия, мелодрама, драма",США,tv-series,"«Как я встретил вашу маму» — комедия про Теда и про то, как он влюбился. Все неприятности начинаются с того, что лучший друг Теда, Маршалл, вдруг неожиданно сообщает, что он хочет сделать предложение своей давней подруге Лили, воспитательнице детского сада. К тому времени Тед понимает, что ему нужно прилагать больше усилий, если он действительно надеется найти свою настоящую любовь. Помогает ему в этих поисках его друг Барни - убеждённый холостяк, вечно со своим, иногда чересчур, мнением на всё происходящее, со склонностью к костюмам и верным способом знакомиться с девушками. Когда Тед встречает Робин, он решает, что это любовь с первого взгляда, но у судьбы в запасе есть кое-что ещё.",8.3,750237,0,
supernatural,"фэнтези, ужасы, триллер, драма, детектив",США,tv-series,"Сериал рассказывает о приключениях братьев Сэма и Дина Винчестеров, которые путешествуют по Соединённым Штатам на чёрном автомобиле Chevrolet Impala 1967 года, расследуют паранормальные явления, многие из которых основаны на американских городских легендах и фольклоре, и сражаются с порождениями зла, такими как демоны и призраки.",8.4,501795,0,
breaking bad,"криминал, драма, триллер",США,tv-series,"Школьный учитель химии Уолтер Уайт узнаёт, что болен раком лёгких. Учитывая сложное финансовое состояние дел семьи, а также перспективы, Уолтер решает заняться изготовлением метамфетамина. Для этого он привлекает своего бывшего ученика Джесси Пинкмана, когда-то исключённого из школы при активном содействии Уайта. Пинкман сам занимался варкой мета, но накануне, в ходе рейда УБН, он лишился подельника и лаборатории.",9.5,2264211,0,
the vampire diaries,"драма, фэнтези, ужасы, триллер, мелодрама, детектив",США,tv-series,"Прошло всего четыре месяца после трагической аварии, в которой погибли их родители, и 17-летняя Елена Гилберт и ее 15-летний брат Джереми все еще пытаются оправиться от потери и вернуться к нормальной жизни. Елена всегда была отличной ученицей, красивой и популярной девушкой в школе, но теперь ей очень тяжело скрывать свою печаль от внешнего мира. В начале учебного года внимание Елены и ее друзей привлекает новый ученик, загадочный и красивый Стефан Сальваторе. 

Стефан и Елена тут же чувствуют взаимную симпатию, но Елена даже не подозревает, что Стефан – вампир, которому уже сотни лет, и который старается мирно жить среди людей, несмотря на то, что его брат, Дэймон – воплощение вампирской жестокости и кровожадности. Теперь два брата-вампира – один добрый, другой злой – ведут борьбу за души Елены, ее друзей и других жителей городка Мистик Фоллз.",7.7,360934,0,
the walking dead,"ужасы, триллер, драма",США,tv-series,"Зомби-эпидемия захлестнула планету. Шериф Рик Граймс путешествует с семьей и небольшой группой выживших в поисках безопасного места. Но постоянный страх смерти каждый день приносит тяжелые потери, заставляя товарищей по несчастью чувствовать глубины человеческой жестокости. Рик пытается спасти близких и понимает, что всепоглощающий страх людей может быть опаснее ходячих мертвецов.",8.1,1121594,0,
pretty little liars,"триллер, драма, мелодрама, детектив",США,tv-series,"Спенсер, Ханна, Ария и Эмили перестали общаться после исчезновения их общей лучшей подруги Элисон. Спустя год девушки начинают получать загадочные сообщения от анонима «A», знающего все их секреты — включая те, которые знала только Элисон — и угрожает их раскрытием. Но Элисон мертва.",7.4,182212,0,
once upon a time,"фэнтези, мелодрама, приключения",США,tv-series,"Жизнь 28-летней Эммы Свон меняется, когда ее 10-летний сын Генри, от которого она отказалась много лет назад, находит Эмму и объявляет, что она является дочерью Прекрасного Принца и Белоснежки. Само собой разумеется, у мальчишки нет никаких сомнений, что параллельно нашему существует альтернативный сказочный мир — город Сторибрук, в котором в итоге оказывается Эмма. Постепенно героиня привязывается к необычному мальчику и странному городу, жители которого «забыли», кем они были в прошлом. А все из-за проклятия Злой Королевы, с помощью которого колдунья остановила время в сказочной стране. Однако стоит протянуть руку — и сказка оживет. Битва за будущее двух миров начинается, но, чтобы одержать победу, Эмме придется принять свою судьбу.",7.7,241024,0,
sherlock,"детектив, триллер, драма, криминал","Великобритания, США",tv-series,"События разворачиваются в наши дни. Он прошел Афганистан, остался инвалидом. По возвращении в родные края встречается с загадочным, но своеобразным гениальным человеком. Тот в поиске соседа по квартире. Лондон, 2010 год. Происходят необъяснимые убийства. Скотланд-Ярд без понятия, за что хвататься. Существует лишь один человек, который в силах разрешить проблемы и найти ответы на сложные вопросы.",9.1,1032442,0,
death note,"ужасы, фэнтези, триллер, драма, криминал, детектив",США,movie,"Способный студент Лайт находит загадочную тетрадь смерти, которая может убить любого, чье имя в нее вписать. Парень решает начать миссию по очистке улиц от преступников и вскоре обнаруживает, что его преследует известный профайлер ФБР, скрывающийся под псевдонимом L.",4.5,90929,101,
naruto,"аниме, мультфильм, фэнтези, боевик, комедия",Япония,anime,"Однажды демон напал на деревню, в которой родился мальчик Наруто. Чтобы остановить демона, глава поселения запечатал его внутри Наруто, но сам при этом погиб. Прошли годы. Наруто вырос, став гиперактивным и очень тупым ниндзя. Он всё ещё живёт в родной деревне, где его не особо любят и стараются избегать.",8.4,140010,0,
the hunter,"триллер, драма, приключения",Австралия,movie,"Мартин – охотник-одиночка. У него нет друзей и семьи. Он берется за самые рискованные и опасные задания – ведь ему нечего терять.

В поисках легкого заработка по контракту с загадочной биотехнологической компанией он отправляется в дикие земли Тасмании. Его задача – отыскать и убить последнего Австралийского Тигра, который уже несколько лет считается полностью истребленным. Прибыв на место, Мартин селится у Люси – странной и одинокой красивой женщины, которая скорбит по мужу, исчезнувшему в тасманской глуши при крайне загадочных обстоятельствах.",6.7,41271,104,r
lottie dottie chicken,короткометражка,Новая Зеландия,movie,,0.0,0,0,
arrow,"фантастика, боевик, драма, криминал, детектив, приключения",США,tv-series,"После кораблекрушения плейбой миллиардер Оливер Куин пропадает и считается погибшим в течение пяти лет, после чего его обнаруживают живым на затерянном острове в Тихом океане. Когда он возвращается домой в Старлинг-Сити, его преданная мать Мойра, столь любимая сестра Теа и лучший друг Томми приветствуют его дома, но они видят, что Оливер изменился после испытаний на острове. Хотя Оливер скрывает правду о человеке, которым он стал…",7.5,451290,0,
black mirror,"фантастика, триллер, драма, детектив, ужасы",Великобритания,tv-series,"За последние годы технологии всесторонне изменили нашу жизнь, прежде чем мы успели опомниться и усомниться в них. В каждом доме, на каждом столе, на каждой ладони — плазменный телевизор, монитор компьютера, дисплей смартфона — чёрное зеркало нашего существования в XXI веке.",8.7,667343,0,
the originals,"фэнтези, драма, детектив, ужасы",США,tv-series,"Ребекка, Клаус и Элайджа в 1920-х годах активно участвовали в жизни Нового Орлеана. Они тайно управляли его жителями, сделав его очень удобным для жизни сверхъестественных существ. Здесь, в городе клубов и алкоголя их существование превратилось в сплошное веселье. Однако внезапное появление Майкла лишило их стабильности. Теперь, спустя годы, Древние вампиры вновь возвращаются в город, где держится уникальный баланс сил между вампирами, ведьмами и оборотнями, однако видимое спокойствие таит многие интриги.",8.2,152558,0,
the 100,"фантастика, драма, детектив",США,tv-series,"События в сериале начинают разворачиваться по прошествии девяносто семи лет после того, как всю цивилизацию уничтожила страшная атомная война.
Высоко в космосе на орбите Земли летает большой космический корабль, где находятся те, кто выжил после страшной катастрофы. Именно с этого последнего пристанища людей на Землю отправляют космический челнок, на котором находятся сто малолетних преступников...",7.5,286680,0,
masha and the bear,"документальный, биография","Бельгия, Великобритания",movie,Маленькой девочкой она избежала Холокоста и жила с волками. Или нет?,6.7,3426,89,pg13
"io pai, io - look at this","фантастика, драма, приключения",США,movie,"Земля стала необитаемой и всё человечество переселилось на спутник Юпитера — Ио. На родной планете почти никого не осталось, кроме одинокой Сэм, которая надеется найти способ спасти Землю. Но появление ещё одного выжившего заставляет её пересмотреть свои планы.",4.8,36793,96,
nymphomaniac: volume 1,драма,"Дания, Германия, Франция, Бельгия",movie,"История эротических переживаний женщины по имени Джо от рождения до пятидесятилетия. Холодным зимним утром Селигман, немолодой одинокий холостяк, натыкается в переулке на Джо, избитую и находящуюся в полубессознательном состоянии. Доставив женщину домой, он рассматривает ее раны и задается вопросом, как дошла она до такой жизни. Джо рассказывает Селигману историю своей бурной молодости.",6.9,132138,117,
hunter x hunter (2011),"аниме, мультфильм, комедия, приключения, боевик","Япония, Польша",anime,"Лицензия члена организации Охотников дает множество привилегий — возможность бесплатно путешествовать первым классом, доступ к закрытой информации и право брать крупные суммы денег в банках. Ежегодно проводится экзамен, на котором выбираются немногие достойные. Гон Фрикс отправляется на экзамен с целью стать Охотником и найти своего отца.",9.0,154159,0,
marvel's luke cage,"мультфильм, фантастика, боевик, комедия, приключения, семейный",США,animated-series,"Ник Фьюри предлагает Человеку-пауку пройти тренировочный курс. В ходе обучения тот обзаводится командой из Люка Кейджа, Железного кулака, Новы и Белой тигрицы, и теперь ему выдают мотоцикл.",7.2,14864,0,
marvel's iron fist,"фантастика, фэнтези, боевик, криминал, приключения",США,tv-series,"Спустя годы после исчезновения Дэниэл Рэнд возвращается в Нью-Йорк и начинает борьбу с криминалом, используя свои невообразимые навыки кунг-фу и способность вызывать силу Железного кулака.",6.4,142505,0,
narcos,"криминал, драма","США, Колумбия",tv-series,Хроника криминальной жизни колумбийского наркобарона Пабло Эскобара.,8.7,490821,0,
the flash,"фантастика, боевик, драма, приключения",США,tv-series,"Когда Барри Аллен был маленьким, больше всего на свете ему хотелось быть супергероем — тем, кто превосходит лимиты человеческого организма и использует во благо данную ему силу. В одиннадцать лет он на собственном опыте узнал, что люди с необычными способностями действительно существуют: его мать была убита одним из таких людей. Повзрослев и став судмедэкспертом, Барри не отбросил мыслей о сверхлюдях и продолжал искать доказательства их существования, что не лучшим образом сказывалось на его репутации и общении с коллегами. Впрочем, однажды его усилия были вознаграждены.",7.5,373859,0,
the seven deadly sins,драма,США,movie,,6.2,5,50,
scream,"ужасы, триллер, детектив",США,movie,"По городу прокатилась волна жестоких убийств, жертвами становятся беззащитные люди. Новой жертвой телефонного маньяка из городка Вудсборо может стать ещё одна девушка — Сидни Прескотт. Год назад её мать была изнасилована и убита, а теперь маньяк угрожает ей самой. Но в первой ночной схватке с убийцей девушка смогла спастись. Полиция находит на месте покушения маску и плащ. Впрочем, такие маски можно купить в лавке ужасов, и проку для следствия от найденных улик нет никакого.",7.4,391819,111,r
the do-over,"боевик, комедия, детектив, приключения",США,movie,"Два неудачника решают имитировать свою смерть, чтобы начать жизнь с чистого листа. Однако их новая жизнь оказывается далеко не лучше прежней.",5.7,51861,108,
operações especiais,"боевик, криминал",Бразилия,movie,,6.3,1747,99,
nan,"короткометражка, драма",Великобритания,movie,,0.0,0,0,
trollhunters,"мультфильм, фэнтези, приключения, боевик, комедия, семейный","США, Мексика",animated-series,"Однажды утром по дороге в школу 15-летний парень Джим Лэйк-младший находит волшебный амулет, благодаря которому он узнает о существовании мистических существ, обитающих вблизи его маленького городка Аркадии. Оказывается, под землёй скрывается целая цивилизация троллей под предводительством злодея Булара. Внезапно Джим становится ключевой фигурой в противостоянии добра и зла, и парень преисполняется решимости спасти мир — сразу после урока физкультуры.",8.4,19843,0,
fearless,"триллер, драма, криминал, детектив",Великобритания,tv-series,"Главная героиня - юрист, защитник прав человека. Она подозревает, что 14 лет назад по делу об убийстве школьницы был осужден невиновный. В попытках оправдать его и найти истинного злодея она сталкивается с подозрительным противодействием со стороны полиции и спецслужб.",7.6,5067,0,
hyena road,"боевик, драма, военный",Канада,movie,"Три разных человека, три разных мира, три разных войны — все стоят на пересечении современной войны — в мутном мире меняющейся нравственности, где всё не так, как кажется. До войны у них была спокойная гражданка рядом с близкими людьми, мечты о будущем и возможность самостоятельно принимать решения на своём пути, но подписав контракт ради денег, они стали орудием в бесконечной и бессмысленной войне. Снайпер оказывается невольно вовлечён в жизнь одной из своих целей. Офицер разведки выступает основным мотиватором в убийстве. Легендарный воин-моджахед, решивший уйти от сражений и кровопролития в спокойный мир, находит себя в центре очередного побоища. Они не похожи друг на друга, но все трое вынуждены крутиться в мрачном мире, где всё на деле оказывается совсем не тем, чем казалось на первый взгляд.",6.5,9044,120,r
santa clarita diet,"ужасы, комедия",США,tv-series,"Джоэль и Шейла - вполне счастливая семейная пара с детьми из Санта-Клариты. Но однажды Шейла умирает. И не умирает. Непонятно, как так вышло, но женщина вполне себе жива, а сердце у неё не бьётся. Кроме того, Шейла ещё вдруг очень начинает любить есть сырое мясо. Непросто будет семье принять новые привычки жены и мамы.",7.8,78688,0,
"sex, love and therapy","мелодрама, комедия","Франция, Бельгия",movie,"Ламбер, раскаявшийся эротоман, пытается искупить свою вину, став семейным консультантом. Вынужденный в течение нескольких месяцев воздерживаться от близкого общения с дамами, он постоянно раздражается по пустякам. Ситуация усложняется, когда к нему на работу устраивается привлекательная и сексапильная Жюдит.",5.4,2390,88,
white girl,"драма, криминал",США,movie,"Улыбчивая блондинка Лиа живет на полную катушку, не упуская возможности лишний раз зажечь и оторваться. За пару недель до экзамена Лия встречает парня своей мечты, смазливого пуэрториканского дилера. С ним жизнь становится еще ярче и интереснее. Сумасшедшая любовь, быстрые деньги и веселые ночи внезапно заканчиваются, когда дилера арестовывают, а Лия оказывается обладательницей крупной партии кокаина.",5.7,11785,88,
girlboss,комедия,США,tv-series,"София - анархическая мятежница, которая отказывается расти. Она сталкивается со страстью к продаже винтажной одежды и становится необычной деловой женщиной. Когда она строит свою розничную империю моды, она понимает ценность и трудность быть боссом своей собственной жизни. Шоу вдохновлено самой продаваемой книгой #Girlboss, написанной Софией Аморузо, основателем модного бренда Nasty Gal.",7.0,20098,0,
city of god: 10 years later,драма,Индия,movie,,7.1,702,145,
13 reasons why,"триллер, драма, детектив",США,tv-series,"Однажды Клэй Дженсен находит на пороге своего дома коробку с аудиокассетами, записанными Ханной Бейкер. Он был влюблен в эту девушку в школе, пока она однажды не покончила жизнь самоубийством. В своих записях Ханна указала 13 причин, которые толкнули её на это. И Клэй — одна из них.",7.5,324699,0,
sand castle,"боевик, драма, военный",США,movie,"Группа американских солдат направлена в иракскую деревеньку для восстановления системы водоснабжения. Далеко не все местные приветствуют американцев как спасителей, часть жителей резко против их присутствия, и американцам предстоит убедить недовольных, что они им не враги, и попутно выбраться из деревни живыми.",6.3,27676,113,
salvador martinha - tip of the tongue,комедия,Португалия,movie,,5.9,71,65,
